x,y,z,V_e,V_n,V_d,phi,theta,psi,p,q,r,vx,vy,vz,timestamp
417.98095703125,-365.401611328125,-74.76483154296875,18.50716781616211,-10.379100799560547,0.41998133063316345,-0.0010104636894538999,-0.0930330827832222,-0.5050683617591858,0.002156377537176013,0.05633920431137085,0.0031114905141294003,18.50716781616211,-10.379100799560547,0.41998133063316345,24.559487342834473
419.8506774902344,-366.44952392578125,-74.70331573486328,18.59579086303711,-10.426294326782227,0.6595825552940369,-0.0010104636894538999,-0.0930330827832222,-0.5050683617591858,0.002156377537176013,0.05633920431137085,0.0031114905141294003,18.59579086303711,-10.426294326782227,0.6595825552940369,24.56472158432007
419.8506774902344,-366.44952392578125,-74.70331573486328,18.59579086303711,-10.426294326782227,0.6595825552940369,-0.0011249117087572813,-0.07133316993713379,-0.5054959058761597,-0.0012917900457978249,0.3193405270576477,-0.0017133979126811028,18.59579086303711,-10.426294326782227,0.6595825552940369,24.657102823257446
419.8506774902344,-366.44952392578125,-74.70331573486328,18.59579086303711,-10.426294326782227,0.6595825552940369,-0.0011249117087572813,-0.07133316993713379,-0.5054959058761597,-0.0012917900457978249,0.3193405270576477,-0.0017133979126811028,18.59579086303711,-10.426294326782227,0.6595825552940369,24.65792202949524
421.72271728515625,-367.49859619140625,-74.64254760742188,18.679420471191406,-10.472736358642578,0.4455050528049469,-0.0011249117087572813,-0.07133316993713379,-0.5054959058761597,-0.0012917900457978249,0.3193405270576477,-0.0017133979126811028,18.679420471191406,-10.472736358642578,0.4455050528049469,24.662704706192017
421.72271728515625,-367.49859619140625,-74.64254760742188,18.679420471191406,-10.472736358642578,0.4455050528049469,-0.0008501879638060927,-0.027630329132080078,-0.505559504032135,0.00486738933250308,0.49090486764907837,0.0019454790744930506,18.679420471191406,-10.472736358642578,0.4455050528049469,24.75629758834839
421.72271728515625,-367.49859619140625,-74.64254760742188,18.679420471191406,-10.472736358642578,0.4455050528049469,-0.0008501879638060927,-0.027630329132080078,-0.505559504032135,0.00486738933250308,0.49090486764907837,0.0019454790744930506,18.679420471191406,-10.472736358642578,0.4455050528049469,24.75696349143982
423.5901184082031,-368.5451965332031,-74.63323211669922,18.724096298217773,-10.498774528503418,-0.28137263655662537,-0.0008501879638060927,-0.027630329132080078,-0.505559504032135,0.00486738933250308,0.49090486764907837,0.0019454790744930506,18.724096298217773,-10.498774528503418,-0.28137263655662537,24.760714769363403
423.5901184082031,-368.5451965332031,-74.63323211669922,18.724096298217773,-10.498774528503418,-0.28137263655662537,-0.0002195764536736533,0.02513585053384304,-0.504912793636322,0.012674978002905846,0.5325052738189697,0.004767916165292263,18.724096298217773,-10.498774528503418,-0.28137263655662537,24.86170506477356
423.5901184082031,-368.5451965332031,-74.63323211669922,18.724096298217773,-10.498774528503418,-0.28137263655662537,-0.0002195764536736533,0.02513585053384304,-0.504912793636322,0.012674978002905846,0.5325052738189697,0.004767916165292263,18.724096298217773,-10.498774528503418,-0.28137263655662537,24.86331009864807
425.4565124511719,-369.59130859375,-74.7157974243164,18.68461036682129,-10.475900650024414,-1.3254938125610352,-0.0002195764536736533,0.02513585053384304,-0.504912793636322,0.012674978002905846,0.5325052738189697,0.004767916165292263,18.68461036682129,-10.475900650024414,-1.3254938125610352,24.86925482749939
425.4565124511719,-369.59130859375,-74.7157974243164,18.68461036682129,-10.475900650024414,-1.3254938125610352,0.0011269239475950599,0.07472875714302063,-0.50441974401474,0.0118505097925663,0.4574468731880188,0.007900296710431576,18.68461036682129,-10.475900650024414,-1.3254938125610352,24.961405515670776
